"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","10","MC7812CTGOS-ND","MC7812CTG","IC REG LINEAR 12V 1A TO220AB","","0","0.61100","$6.11"
"2","5","102-CMI-9605-0580T-ND","CMI-9605-0580T","BUZZER MAGNETIC 5V 9.6MM TH","","0","1.11000","$5.55"
"3","100","A126391CT-ND","CRG0805J1K0","RES SMD 1K OHM 5% 1/8W 0805","","0","0.01670","$1.67"
"4","50","A129545CT-ND","CRGH0805F2K2","CRGH0805 1% 2K2 0.33W","","0","0.02320","$1.16"
"5","10","445-14410-1-ND","C2012X5R1H334M125AA","CAP CER 0.33UF 50V X5R 0805","","0","0.12400","$1.24"
"6","10","478-3351-1-ND","08055C104MAT2A","CAP CER 0.1UF 50V X7R 0805","","0","0.12800","$1.28"
"7","10","102-6219-ND","TB010-508-03BE","TERMINAL BLOCK, SCREW TYPE, 5.08","","0","1.00900","$10.09"
"8","10","SST2222AHZGT116CT-ND","SST2222AHZGT116","NPN MEDIUM POWER TRANSISTOR (SWI","","7","0.16700","$1.67"
"9","10","P470ADCT-ND","ERJ-P06J471V","RES SMD 470 OHM 5% 1/2W 0805","","0","0.10800","$1.08"
"10","5","404-1054-1-ND","BR1111R-TR","LED RED DIFFUSED 3216 SMD","","0","0.43000","$2.15"
"11","20","311-2752-1-ND","RT0805DRD074K7L","RES SMD 4.7K OHM 0.5% 1/8W 0805","","0","0.19000","$3.80"
"12","1","1050-ABX00028-ND","ABX00028","ARDUINO NANO EVERY","","0","11.85000","$11.85"
"","","","","","","","Subtotal","$47.65"
